HP:0000001	C0444868	All
HP:0000147	C0032460	Polycystic ovaries
HP:0000147	C1136382	Polycystic ovaries
HP:0000148	C1321884	Vaginal atresia
HP:0000149	C1518716	Ovarian gonadoblastoma
HP:0000150	C0206661	Gonadoblastoma
HP:0000151	C0425913	Aplasia of the uterus
HP:0000152	C4021817	Abnormality of head or neck
HP:0000153	C0026633	Abnormality of the mouth
HP:0000154	C0024433	Wide mouth
HP:0000155	C0149745	Oral ulcer
HP:0000157	C0878638	Abnormality of the tongue
HP:0000158	C0024421	Macroglossia
HP:0000159	C2183966	Abnormal lip morphology
HP:0000160	C0026034	Narrow mouth
HP:0000161	C1850256	Median cleft lip
HP:0000162	C0267048	Glossoptosis
HP:0000162	C4280678	Glossoptosis
HP:0000163	C4025887	Abnormal oral cavity morphology
HP:0000164	C0040427	Abnormality of the dentition
HP:0000164	C0262444	Abnormality of the dentition
HP:0000166	C4025886	Severe periodontitis
HP:0000168	C4021816	Abnormality of the gingiva
HP:0000169	C0016049	Gingival fibromatosis
HP:0000169	C0399440	Gingival fibromatosis
HP:0000169	C4280677	Gingival fibromatosis
HP:0000171	C0025988	Microglossia
HP:0000171	C0426492	Microglossia
HP:0000172	C4025885	Abnormality of the uvula
HP:0000174	C4021815	Abnormal palate morphology
HP:0000175	C0008925	Cleft palate
HP:0000175	C2981150	Cleft palate
HP:0000176	C0432103	Submucous cleft hard palate
HP:0000176	C4020894	Submucous cleft hard palate
HP:0000177	C4025884	Abnormality of upper lip
HP:0000178	C4025883	Abnormality of lower lip
HP:0000179	C1839739	Thick lower lip vermilion
HP:0000179	C2053437	Thick lower lip vermilion
HP:0000180	C0431564	Lobulated tongue
HP:0000182	C4025882	Movement abnormality of the tongue
HP:0000183	C1853406	Difficulty in tongue movements
HP:0000183	C4280676	Difficulty in tongue movements
HP:0000185	C0432098	Cleft soft palate
HP:0000187	C1857500	Broad alveolar ridges
HP:0000187	C4280675	Broad alveolar ridges
HP:0000188	C1848977	Short upper lip
HP:0000189	C1398312	Narrow palate
HP:0000190	C4025881	Abnormal oral frenulum morphology
HP:0000191	C4021814	Accessory oral frenulum
HP:0000193	C0266122	Bifid uvula
HP:0000194	C0240379	Open mouth
HP:0000196	C1861544	Lower lip pit
HP:0000197	C4025880	Abnormal parotid gland morphology
HP:0000198	C1858569	Absence of Stensen duct
HP:0000198	C4280674	Absence of Stensen duct
HP:0000199	C0241438	Tongue nodules
HP:0000200	C0426501	Short lingual frenulum
HP:0000200	C4280673	Short lingual frenulum
HP:0000201	C0031900	Pierre-Robin sequence
HP:0000202	C0158646	Oral cleft
HP:0000202	C4021813	Oral cleft
HP:0000204	C0008924	Cleft upper lip
HP:0000205	C1832130	Pursed lips
HP:0000206	C0017675	Glossitis
HP:0000207	C1849341	Triangular mouth
HP:0000211	C0041105	Trismus
HP:0000211	C1848474	Trismus
HP:0000211	C4228933	Trismus
HP:0000211	C4280672	Trismus
HP:0000212	C0017566	Gingival overgrowth
HP:0000212	C0017567	Gingival overgrowth
HP:0000212	C0376480	Gingival overgrowth
HP:0000214	C1857697	Lip telangiectasia
HP:0000214	C4280670	Lip telangiectasia
HP:0000214	C4280671	Lip telangiectasia
HP:0000215	C1846423	Thick upper lip vermilion
HP:0000216	C1839276	Broad secondary alveolar ridge
HP:0000217	C0043352	Xerostomia
HP:0000218	C0240635	High palate
HP:0000219	C1865017	Thin upper lip vermilion
HP:0000220	C0042454	Velopharyngeal insufficiency
HP:0000220	C4280669	Velopharyngeal insufficiency
HP:0000221	C0040412	Furrowed tongue
HP:0000222	C1857013	Gingival hyperkeratosis
HP:0000223	C4025879	Abnormality of taste sensation
HP:0000224	C0151934	Decreased taste sensation
HP:0000225	C0017565	Gingival bleeding
HP:0000227	C4025878	Tongue telangiectasia
HP:0000227	C4280668	Tongue telangiectasia
HP:0000228	C4025877	Oral cavity telangiectasia
HP:0000228	C4280667	Oral cavity telangiectasia
HP:0000230	C0017574	Gingivitis
HP:0000232	C1853246	Everted lower lip vermilion
HP:0000232	C1866234	Everted lower lip vermilion
HP:0000233	C0578038	Thin vermilion border
HP:0000234	C4021812	Abnormality of the head
HP:0000235	C4025876	Abnormality of the fontanelles or cranial sutures
HP:0000236	C4025875	Abnormality of the anterior fontanelle
HP:0000237	C1859455	Small anterior fontanelle
HP:0000238	C0020255	Hydrocephalus
HP:0000239	C0456132	Large fontanelles
HP:0000239	C4072820	Large fontanelles
HP:0000239	C4072821	Large fontanelles
HP:0000239	C4072822	Large fontanelles
HP:0000240	C4025874	Abnormality of skull size
HP:0000242	C1857126	Parietal bossing
HP:0000243	C0265535	Trigonocephaly
HP:0000243	C4280665	Trigonocephaly
HP:0000243	C4280666	Trigonocephaly
HP:0000244	C1857484	Brachyturricephaly
HP:0000245	C4025873	Abnormality of the paranasal sinuses
HP:0000246	C0030469	Sinusitis
HP:0000246	C0037199	Sinusitis
HP:0000248	C0221356	Brachycephaly
HP:0000248	C4072823	Brachycephaly
HP:0000248	C4072824	Brachycephaly
HP:0000250	C1854834	Dense calvaria
HP:0000252	C0424688	Microcephaly
HP:0000253	C1850456	Progressive microcephaly
HP:0000255	C0149512	Acute sinusitis
HP:0000256	C4083076	Macrocephaly
HP:0000256	C4255213	Macrocephaly
HP:0000256	C4280663	Macrocephaly
HP:0000256	C4280664	Macrocephaly
HP:0000260	C1866134	Wide anterior fontanel
HP:0000262	C0030044	Turricephaly
HP:0000263	C0030044	Oxycephaly
HP:0000264	C4025872	Abnormality of the mastoid
HP:0000265	C0024904	Mastoiditis
HP:0000267	C1860245	Cranial asymmetry
HP:0000267	C4280258	Cranial asymmetry
HP:0000267	C4280657	Cranial asymmetry
HP:0000267	C4280658	Cranial asymmetry
HP:0000267	C4280659	Cranial asymmetry
HP:0000267	C4280660	Cranial asymmetry
HP:0000267	C4280661	Cranial asymmetry
HP:0000267	C4280662	Cranial asymmetry
HP:0000268	C0221358	Dolichocephaly
HP:0000268	C4280653	Dolichocephaly
HP:0000268	C4280654	Dolichocephaly
HP:0000268	C4280655	Dolichocephaly
HP:0000268	C4280656	Dolichocephaly
HP:0000269	C1853737	Prominent occiput
HP:0000269	C4280652	Prominent occiput
HP:0000270	C0277828	Delayed cranial suture closure
HP:0000271	C0266617	Abnormality of the face
HP:0000271	C1290857	Abnormality of the face
HP:0000271	C4025871	Abnormality of the face
HP:0000272	C1858085	Malar flattening
HP:0000272	C4280651	Malar flattening
HP:0000273	C0234853	Facial grimacing
HP:0000274	C1855538	Small face
HP:0000275	C1837463	Narrow face
HP:0000275	C1849121	Narrow face
HP:0000276	C1836047	Long face
HP:0000277	C4025870	Abnormality of the mandible
HP:0000278	C3494422	Retrognathia
HP:0000280	C1845847	Coarse facial features
HP:0000280	C4072825	Coarse facial features
HP:0000282	C0542571	Facial edema
HP:0000283	C1859680	Broad face
HP:0000286	C0678230	Epicanthus
HP:0000287	C4025868	Increased facial adipose tissue
HP:0000287	C4280649	Increased facial adipose tissue
HP:0000287	C4280650	Increased facial adipose tissue
HP:0000288	C1857045	Abnormality of the philtrum
HP:0000289	C1854111	Broad philtrum
HP:0000290	C4025867	Abnormality of the forehead
HP:0000291	C4025866	Abnormality of facial adipose tissue
HP:0000292	C1837767	Loss of facial adipose tissue
HP:0000293	C1866231	Full cheeks
HP:0000293	C2748653	Full cheeks
HP:0000293	C3806443	Full cheeks
HP:0000293	C4280647	Full cheeks
HP:0000293	C4280648	Full cheeks
HP:0000294	C1842366	Low anterior hairline
HP:0000295	C1856361	Doll-like facies
HP:0000297	C1845251	Facial hypotonia
HP:0000297	C4280646	Facial hypotonia
HP:0000298	C0424448	Mask-like facies
HP:0000300	C1849025	Oval face
HP:0000301	C4025865	Abnormality of facial musculature
HP:0000303	C0302501	Mandibular prognathia
HP:0000303	C0399526	Mandibular prognathia
HP:0000303	C2227134	Mandibular prognathia
HP:0000303	C4280644	Mandibular prognathia
HP:0000303	C4280645	Mandibular prognathia
HP:0000306	C4025864	Abnormality of the chin
HP:0000307	C1844505	Pointed chin
HP:0000308	C1839546	Microretrognathia
HP:0000309	C4021811	Abnormality of the midface
HP:0000311	C0239479	Round face
HP:0000311	C1856468	Round face
HP:0000315	C4025863	Abnormality of the orbital region
HP:0000316	C0020534	Hypertelorism
HP:0000317	C0270871	Facial myokymia
HP:0000319	C1142533	Smooth philtrum
HP:0000320	C1837758	Bird-like facies
HP:0000321	C1832127	Square face
HP:0000322	C1861324	Short philtrum
HP:0000324	C1306710	Facial asymmetry
HP:0000325	C1835884	Triangular face
HP:0000326	C4025862	Abnormality of the maxilla
HP:0000327	C0240310	Hypoplasia of the maxilla
HP:0000327	C4082243	Hypoplasia of the maxilla
HP:0000327	C4280640	Hypoplasia of the maxilla
HP:0000327	C4280641	Hypoplasia of the maxilla
HP:0000327	C4280642	Hypoplasia of the maxilla
HP:0000327	C4280643	Hypoplasia of the maxilla
HP:0000329	C1861443	Facial hemangioma
HP:0000331	C1839323	Short chin
HP:0000331	C3697248	Short chin
HP:0000336	C1842060	Prominent supraorbital ridges
HP:0000336	C4280636	Prominent supraorbital ridges
HP:0000336	C4280637	Prominent supraorbital ridges
HP:0000336	C4280638	Prominent supraorbital ridges
HP:0000336	C4280639	Prominent supraorbital ridges
HP:0000337	C1849089	Broad forehead
HP:0000338	C0813217	Hypomimic face
HP:0000338	C1862474	Hypomimic face
HP:0000338	C4280635	Hypomimic face
HP:0000339	C1846011	Pugilistic facies
HP:0000340	C1857679	Sloping forehead
HP:0000341	C1839758	Narrow forehead
HP:0000343	C1865014	Long philtrum
HP:0000346	C1848473	Whistling appearance
HP:0000347	C0025990	Micrognathia
HP:0000347	C0240295	Micrognathia
HP:0000347	C1857130	Micrognathia
HP:0000348	C0239676	High forehead
HP:0000348	C2677762	High forehead
HP:0000349	C1853486	Widow's peak
HP:0000350	C1845250	Small forehead
HP:0000350	C4280633	Small forehead
HP:0000350	C4280634	Small forehead
HP:0000356	C0266589	Abnormality of the outer ear
HP:0000356	C1846460	Abnormality of the outer ear
HP:0000357	C4021810	Abnormal location of ears
HP:0000358	C0431478	Posteriorly rotated ears
HP:0000359	C4021809	Abnormality of the inner ear
HP:0000360	C0040264	Tinnitus
HP:0000362	C0029899	Otosclerosis
HP:0000363	C4021808	Abnormality of earlobe
HP:0000364	C4025860	Hearing abnormality
HP:0000365	C0011053	Hearing impairment
HP:0000365	C0018772	Hearing impairment
HP:0000365	C0339789	Hearing impairment
HP:0000365	C1384666	Hearing impairment
HP:0000366	C0240547	Abnormality of the nose
HP:0000366	C0265736	Abnormality of the nose
HP:0000366	C2235909	Abnormality of the nose
HP:0000368	C1857486	Low-set, posteriorly rotated ears
HP:0000369	C0239234	Low-set ears
HP:0000370	C1861141	Abnormality of the middle ear
HP:0000371	C0271429	Acute otitis media
HP:0000372	C4021807	Abnormality of the auditory canal
HP:0000375	C4025858	Abnormal cochlea morphology
HP:0000376	C1857078	Incomplete partition of the cochlea type II
HP:0000376	C4025857	Incomplete partition of the cochlea type II
HP:0000377	C0431483	Abnormality of the pinna
HP:0000377	C0857379	Abnormality of the pinna
HP:0000378	C1845447	Cupped ear
HP:0000378	C4020892	Cupped ear
HP:0000381	C1861326	Stapes ankylosis
HP:0000383	C4025856	Abnormality of periauricular region
HP:0000384	C1860816	Preauricular skin tag
HP:0000384	C4072826	Preauricular skin tag
HP:0000385	C1842680	Small earlobe
HP:0000387	C1849364	Absent earlobe
HP:0000388	C0029882	Otitis media
HP:0000389	C0271441	Chronic otitis media
HP:0000389	C0743359	Chronic otitis media
HP:0000391	C1837732	Thickened helices
HP:0000394	C0266614	Lop ear
HP:0000395	C1845272	Prominent antihelix
HP:0000396	C1837731	Overfolded helix
HP:0000399	C4021806	Prelingual sensorineural hearing impairment
HP:0000400	C0152421	Macrotia
HP:0000400	C0554972	Macrotia
HP:0000400	C1835581	Macrotia
HP:0000400	C1848570	Macrotia
HP:0000400	C1850189	Macrotia
HP:0000400	C1855062	Macrotia
HP:0000400	C1860838	Macrotia
HP:0000402	C0395837	Stenosis of the external auditory canal
HP:0000402	C0576860	Stenosis of the external auditory canal
HP:0000403	C0747085	Recurrent otitis media
HP:0000405	C0018777	Conductive hearing impairment
HP:0000407	C0018784	Sensorineural hearing impairment
HP:0000408	C1843156	Progressive sensorineural hearing impairment
HP:0000410	C0155552	Mixed hearing impairment
HP:0000411	C1305420	Protruding ear
HP:0000411	C1855285	Protruding ear
HP:0000413	C1398325	Atresia of the external auditory canal
HP:0000413	C1840305	Atresia of the external auditory canal
HP:0000413	C1857079	Atresia of the external auditory canal
HP:0000413	C1866190	Atresia of the external auditory canal
HP:0000414	C0240543	Bulbous nose
HP:0000414	C1834118	Bulbous nose
HP:0000414	C1855751	Bulbous nose
HP:0000415	C4025855	Abnormality of the choanae
HP:0000417	C1857645	Slender nose
HP:0000418	C1837761	Narrow nasal ridge
HP:0000419	C0151790	Abnormality of the nasal septum
HP:0000420	C1844857	Short nasal septum
HP:0000421	C0014591	Epistaxis
HP:0000422	C4021805	Abnormality of the nasal bridge
HP:0000426	C1854113	Prominent nasal bridge
HP:0000426	C4230640	Prominent nasal bridge
HP:0000429	C2227020	Abnormality of the nasal alae
HP:0000429	C4021804	Abnormality of the nasal alae
HP:0000429	C4280631	Abnormality of the nasal alae
HP:0000429	C4280632	Abnormality of the nasal alae
HP:0000430	C1834055	Underdeveloped nasal alae
HP:0000431	C1839764	Wide nasal bridge
HP:0000431	C1849367	Wide nasal bridge
HP:0000433	C4025854	Abnormality of the nasal mucosa
HP:0000434	C4025853	Nasal mucosa telangiectasia
HP:0000436	C4025852	Abnormality of the nasal tip
HP:0000437	C1859717	Depressed nasal tip
HP:0000444	C0240538	Convex nasal ridge
HP:0000445	C0426421	Wide nose
HP:0000446	C0426422	Narrow nasal bridge
HP:0000446	C4020891	Narrow nasal bridge
HP:0000446	C4280630	Narrow nasal bridge
HP:0000447	C1853482	Pear-shaped nose
HP:0000448	C0426415	Prominent nose
HP:0000448	C1400105	Prominent nose
HP:0000448	C4280629	Prominent nose
HP:0000451	C1839765	Triangular nasal tip
HP:0000452	C0584837	Choanal stenosis
HP:0000453	C0008297	Choanal atresia
HP:0000454	C0277873	Flared nostrils
HP:0000455	C0426429	Broad nasal tip
HP:0000456	C0426428	Bifid nasal tip
HP:0000456	C4020890	Bifid nasal tip
HP:0000457	C1842876	Depressed nasal ridge
HP:0000458	C0003126	Anosmia
HP:0000460	C0426422	Narrow nose
HP:0000463	C1840077	Anteverted nares
HP:0000464	C0266623	Abnormality of the neck
HP:0000464	C0575167	Abnormality of the neck
HP:0000464	C4280628	Abnormality of the neck
HP:0000465	C0221217	Webbed neck
HP:0000466	C1859212	Limited neck range of motion
HP:0000467	C0240479	Neck muscle weakness
HP:0000468	C4025850	Increased adipose tissue around the neck
HP:0000470	C0521525	Short neck
HP:0000471	C0854242	Gastrointestinal angiodysplasia
HP:0000472	C1839816	Long neck
HP:0000473	C0040485	Torticollis
HP:0000473	C0152116	Torticollis
HP:0000473	C0949445	Torticollis
HP:0000474	C1836940	Thickened nuchal skin fold
HP:0000475	C1853638	Broad neck
HP:0000476	C0206620	Cystic hygroma
HP:0000478	C0015393	Abnormality of the eye
HP:0000478	C0015397	Abnormality of the eye
HP:0000479	C0035300	Abnormal retinal morphology
HP:0000479	C0035309	Abnormal retinal morphology
HP:0000480	C0240896	Retinal coloboma
HP:0000481	C1855670	Abnormal cornea morphology
HP:0000481	C4020889	Abnormal cornea morphology
HP:0000482	C0266544	Microcornea
HP:0000482	C1167713	Microcornea
HP:0000483	C0004106	Astigmatism
HP:0000484	C1847524	Hyperopic astigmatism
HP:0000485	C0344530	Megalocornea
HP:0000485	C1167712	Megalocornea
HP:0000486	C0038379	Strabismus
HP:0000487	C0521579	Congenital strabismus
HP:0000488	C0035309	Retinopathy
HP:0000490	C0014306	Deeply set eye
HP:0000490	C0423224	Deeply set eye
HP:0000491	C0022568	Keratitis
HP:0000492	C4021803	Abnormal eyelid morphology
HP:0000493	C4025849	Abnormal foveal morphology
HP:0000494	C0423110	Downslanted palpebral fissures
HP:0000495	C0010043	Recurrent corneal erosions
HP:0000495	C0155119	Recurrent corneal erosions
HP:0000495	C4020888	Recurrent corneal erosions
HP:0000496	C0497202	Abnormality of eye movement
HP:0000497	C4025848	Globe retraction and deviation on abduction
HP:0000498	C0005741	Blepharitis
HP:0000498	C0339063	Blepharitis
HP:0000499	C2675111	Abnormality of the eyelashes
HP:0000501	C0017601	Glaucoma
HP:0000502	C4025847	Abnormal conjunctiva morphology
HP:0000503	C1855391	Tortuosity of conjunctival vessels
HP:0000504	C4025846	Abnormality of vision
HP:0000505	C0042798	Visual impairment
HP:0000505	C3665347	Visual impairment
HP:0000506	C0423113	Telecanthus
HP:0000508	C0005745	Ptosis
HP:0000509	C0009763	Conjunctivitis
HP:0000509	C1864156	Conjunctivitis
HP:0000510	C0035334	Rod-cone dystrophy
HP:0000511	C0339652	Vertical supranuclear gaze palsy
HP:0000511	C1843369	Vertical supranuclear gaze palsy
HP:0000512	C0476397	Abnormal electroretinogram
HP:0000514	C1321329	Slow saccadic eye movements
HP:0000517	C0023308	Abnormality of the lens
HP:0000517	C0549651	Abnormality of the lens
HP:0000518	C0086543	Cataract
HP:0000518	C1510497	Cataract
HP:0000519	C0009691	Congenital cataract
HP:0000519	C3277059	Congenital cataract
HP:0000520	C0015300	Proptosis
HP:0000520	C1837760	Proptosis
HP:0000520	C1848490	Proptosis
HP:0000520	C1862425	Proptosis
HP:0000522	C0344505	Alacrima
HP:0000523	C0235259	Subcapsular cataract
HP:0000524	C0239105	Conjunctival telangiectasia
HP:0000525	C4025845	Abnormality iris morphology
HP:0000526	C0003076	Aniridia
HP:0000527	C1853738	Long eyelashes
HP:0000528	C0003119	Anophthalmia
HP:0000529	C1839364	Progressive visual loss
HP:0000529	C3277697	Progressive visual loss
HP:0000531	C1096610	Corneal crystals
HP:0000532	C4025844	Abnormal chorioretinal morphology
HP:0000533	C4048273	Chorioretinal atrophy
HP:0000534	C4011556	Abnormal eyebrow morphology
HP:0000535	C1832446	Sparse and thin eyebrow
HP:0000537	C1303003	Epicanthus inversus
HP:0000538	C0155300	Pseudopapilledema
HP:0000539	C4025843	Abnormality of refraction
HP:0000540	C0020490	Hypermetropia
HP:0000541	C0035305	Retinal detachment
HP:0000542	C1846463	Impaired ocular adduction
HP:0000543	C0554970	Optic disc pallor
HP:0000544	C0162292	External ophthalmoplegia
HP:0000544	C0162674	External ophthalmoplegia
HP:0000545	C0027092	Myopia
HP:0000546	C0035304	Retinal degeneration
HP:0000547	C0035334	Tapetoretinal degeneration
HP:0000548	C0035334	Cone/cone-rod dystrophy
HP:0000548	C0730290	Cone/cone-rod dystrophy
HP:0000548	C4072827	Cone/cone-rod dystrophy
HP:0000549	C1845274	Abnormal conjugate eye movement
HP:0000550	C1855685	Undetectable electroretinogram
HP:0000551	C0009398	Abnormality of color vision
HP:0000551	C0234629	Abnormality of color vision
HP:0000551	C3552853	Abnormality of color vision
HP:0000552	C0155017	Tritanomaly
HP:0000552	C1970167	Tritanomaly
HP:0000553	C4025842	Abnormality of the uvea
HP:0000554	C0042164	Uveitis
HP:0000555	C0152458	Leukocoria
HP:0000556	C0854723	Retinal dystrophy
HP:0000557	C0020302	Buphthalmos
HP:0000557	C0423221	Buphthalmos
HP:0000558	C0265341	Rieger anomaly
HP:0000559	C0349702	Corneal scarring
HP:0000561	C1843005	Absent eyelashes
HP:0000561	C4280626	Absent eyelashes
HP:0000561	C4280627	Absent eyelashes
HP:0000563	C0022578	Keratoconus
HP:0000564	C0344511	Lacrimal duct atresia
HP:0000565	C0014877	Esotropia
HP:0000567	C0240896	Chorioretinal coloboma
HP:0000568	C0026010	Microphthalmia
HP:0000568	C4280625	Microphthalmia
HP:0000568	C4280808	Microphthalmia
HP:0000570	C1842584	Abnormal saccadic eye movements
HP:0000570	C4025841	Abnormal saccadic eye movements
HP:0000571	C0423082	Hypometric saccades
HP:0000572	C3665386	Visual loss
HP:0000573	C0035317	Retinal hemorrhage
HP:0000574	C1853487	Thick eyebrow
HP:0000575	C0036454	Scotoma
HP:0000575	C0344233	Scotoma
HP:0000576	C0271196	Centrocecal scotoma
HP:0000577	C0015310	Exotropia
HP:0000579	C0022906	Nasolacrimal duct obstruction
HP:0000579	C1281931	Nasolacrimal duct obstruction
HP:0000580	C0035334	Pigmentary retinopathy
HP:0000581	C0005744	Blepharophimosis
HP:0000582	C0423109	Upslanted palpebral fissure
HP:0000584	C1832170	Punctate corneal epithelial erosions
HP:0000585	C0155120	Band keratopathy
HP:0000586	C1865244	Shallow orbits
HP:0000587	C0029131	Abnormality of the optic nerve
HP:0000588	C0155299	Optic nerve coloboma
HP:0000589	C0009363	Coloboma
HP:0000590	C0162674	Progressive external ophthalmoplegia
HP:0000591	C4025840	Abnormal sclera morphology
HP:0000592	C0542514	Blue sclerae
HP:0000593	C3152182	Abnormal anterior chamber morphology
HP:0000594	C0423276	Shallow anterior chamber
HP:0000597	C0751401	Ophthalmoparesis
HP:0000598	C0266589	Abnormality of the ear
